ID,medRT_train,medRT_diff,offline_all
FF023,0.378,0.3375,0.8125
FF029,-0.1085,-0.112,0.416666667
FF020,0.076,0.112,0.75
FF086,0.1913,0.32985,0.5625
FF019,0.3055,0.4565,1
FF069,0.284,0.377,0.8125
FF014,0.04835,0.073975,0.5625
FF100,0.43215,0.3738,0.708333333
FF063,0.3044,0.3327,0.833333333
FF055,0.2683,0.2583,0.604166667
FF060,0.0371,0.09225,0.854166667
FF083,0.453,0.38075,0.520833333
FF017,0.021,0.2415,0.9375
FF065,0.021,-0.00675,0.625
FF062,0.238,0.336,0.854166667
FF016,-0.13485,-0.005625,0.416666667
FF067,0.4712,0.45695,0.625
FF056,-0.019,-0.00705,0.5
FF021,-0.0085,0.01675,0.5625
FF064,0.158,0.224,0.645833333
182867,-0.0221,0.00615,0.541666667
FF013,-0.06505,-0.052775,0.4375
FF005,0.151,0.35875,0.75
FF012,0.32115,0.2337,0.5625
FF010,-0.0387,-0.0109,0.479166667
FF008,0.457,0.4815,0.875
FF001,0.0266,0.01115,0.416666667
FF003,0.129,0.413,0.583333333
FF004,-0.06055,,0.458333333
KOR137,-0.0644,0.0081,0.520833333
KOR160,0.003,0.04125,0.395833333
KOR159,0.1665,0.10525,0.541666667
KOR139,0.4875,0.33215,0.5625
KOR157,0.016,0.0385,0.5625
KOR134,-0.0568,0.02485,0.375
KOR133,0.0262,0.028325,0.354166667
KOR131,0.0947,0.29195,0.4375
KOR158,0.336,0.40375,0.5
KOR138,-0.02355,0.16995,0.625
KOR144,0.0492,0.02415,0.520833333
KOR153,0.331800001,0.331650001,0.625
KOR151,-0.00825,0.011125,0.333333333
KOR156,0.05175,0.1212,0.5625
KOR149,0.03445,0.0358,0.541666667
KOR136,0.1829,0.1808,0.541666667
KOR154,-0.011,0.0125,0.541666667
KOR152,0.1299,0.00605,0.416666667
KOR130,0.0323,0.03335,0.4375
KOR148,0.0607,0.0187,0.541666667
KOR150,-0.00365,-0.010325,0.458333333
KOR132,0.0215,-0.00015,0.416666667
KOR141,0.1504,0.38695,0.645833333
KOR135,0.184,0.28075,0.604166667
KOR147,0.5356,0.63315,0.770833333
KOR146,-0.0468,-0.00255,0.4375
KOR145,-0.0011,0.0254,0.333333333
KOR109_2,0.4106,0.4338,0.479166667
KOR109_1,0.0064,0.03315,0.604166667
KOR108_1,0.0553,0.013175,0.416666667
KOR108_2,0.235,0.21365,0.6875
KOR114,0.0469,0.03795,0.3125
KOR125,-0.072,0.01325,0.416666667
KOR129,0.2516,0.1876,0.583333333
KOR128,-0.0406,0.008,0.583333333
KOR126,-0.0016,0.0039,0.5
KOR127,0.035,0.0215,0.708333333
KOR124,-0.0413,0.005325,0.5
KOR113,0.2899,0.2082,0.625
KOR123,0.0281,0.27415,0.416666667
KOR115,0.0495,-0.01095,0.479166667
KOR116,0.04035,-0.004325,0.5
KOR121,0.2241,0.28775,0.895833333
KOR120,0.2584,0.3508,0.708333333
KOR118,0.0958,0.29975,0.770833333
KOR112,0.2682,0.180375,0.833333333
KOR202,0.1664,0.1039,0.458333333
KOR201,0.0031,0.02755,0.604166667
KOR110,-0.16155,-0.07935,
KOR111,-0.00565,-0.02325,0.479166667
KOR103,0.0555,0.0275,0.4375
KOR107,-0.0368,0.04615,0.416666667
KOR104,0.1091,0.096725,0.458333333
KOR105,0.0014,0.076975,0.5625
KOR106,-0.0355,0.0025,0.541666667
KOR101,-0.0026,0.0227,0.3125
ASD133,0.154,0.20395,0.520833333
MX109,0.2659,0.37745,0.8125
BL151,0.2352,0.55765,0.604166667
TB108,0.4544,,
TB107,-0.1352,0.03835,0.333333333
ADHD120,0.44445,0.3615,0.770833333
TB105,-0.0226,0.051825,0.541666667
TB102,0.2553,0.344175,0.770833333
TB103,0.1105,0.54625,0.5625
BL150,-0.0974,0.0749,0.479166667
BL149,-0.096,0.2815,0.6875
TB101,-0.0176,0.04265,0.729166667
BL145,0.2899,0.38315,0.708333333
KO104,0.0418,0.021225,0.770833333
ID118,-0.0633,-0.0056,0.416666667
BL143,0.2709,0.41795,0.708333333
BL148,0.0458,0.1255,0.8125
ADHD127,-0.0743,-0.0019,0.645833333
KO103,-0.0218,0.06815,0.5
ADHD130,0.3931,0.75265,0.645833333
ADHD124,-0.2032,0.04505,0.5
ADHD119,-0.09795,0.0473,0.354166667
ADHD123,0.1669,0.4875,0.6875
KO118,0.0292,0.0305,0.4375
ADHD131,0.2989,0.3079,0.520833333
ASD132,0.33805,,
BL146,0.0148,0.097225,0.770833333
MX108,-0.008,-0.08515,0.458333333
MX111,-0.13735,-0.1217,0.479166667
ID115,0.02075,0.042375,0.375
ASD124,-0.2282,0.03885,0.5
BL144,0.3688,0.436525,0.979166667
ASD118,0.1267,0.3923,0.5
ASD121,0.5509,0.6157,0.333333333
ASD119,0.0259,0.000225,0.604166667
ASD125,0.3854,0.37465,0.729166667
ASD127,0.07765,0.5057,0.645833333
ID125,-0.0186,0.04665,0.4375
KO107,0.0026,0.0759,0.541666667
BL142,-0.0279,0.0281,0.770833333
ASD112,0.06205,0.2579,0.5625
KO116,-0.00835,-0.044275,0.375
ASD114,0.06055,-0.04745,0.416666667
KO120,-0.01805,-0.015975,0.479166667
KO108,0.0945,0.68565,0.5625
KO127,-0.17385,-0.11205,0.5625
KO111,0.446,0.4575,0.666666667
KO110,-0.068,0.08875,0.479166667
KO106,0.0133,0.062125,0.729166667
KO125,0.2314,0.09705,0.333333333
KO126,-0.037,-0.0815,0.395833333
ASD129,-0.06655,-0.05095,0.5
ASD126,-0.0949,-0.00035,0.458333333
