birth_date,medRT_TRN1,medRT_TRN2,medRT_TRN3,medRT_RND4,medRT_REC5,offline_all
1976.09.20,0.3652,0.447,0.48515,0.5538,0.4955,0.625
1975.06.12,0.5735,0.5963,0.5014,0.68345,0.5093,0.375
2001.05.19,0.2628,0.10685,0.16925,0.49595,0.1536,0.6875
1945.08.04,1.0131,0.7119,0.73825,0.79295,0.6607,0.4375
2003.12.27,0.5923,0.4913,0.3531,0.61445,0.2948,0.729166667
1958.02.05,0.59,0.462,0.499,0.617,0.517,0.583333333
1980.06.03,0.669,0.3416,0.2873,0.5097,0.3207,0.875
1998.07.28,0.3847,0.383,0.3669,0.40245,0.3611,0.541666667
2000.08.30,0.2957,0.14535,0.11885,0.4618,0.112,0.875
2000.11.06,0.3918,0.3304,0.1975,0.5628,0.4143,0.666666667
1973.10.16,0.4404,0.3905,0.3679,0.5143,0.43735,0.666666667
2002.11.25,0.417349995,0.349050003,0.312199997,0.596599995,0.409599998,0.729166667
2004.06.18,0.358,0.2851,0.19215,0.5607,0.21935,0.895833333
2001.09.20,0.55145,0.3243,0.4132,0.6383,0.4585,0.520833333
1968.11.06,0.512,0.521,0.473,0.512,0.494,0.625
2003.09.04,0.6634,0.5975,0.5801,0.7615,0.7051,0.604166667
1974.09.28,0.5377,0.529,0.480349999,0.5973,0.5165,0.520833333
1989.07.14,0.6055,0.626,0.473,0.689,0.691,0.395833333
1988.01.01,0.45525,0.4397,0.39725,0.5485,0.41595,0.5
2002.02.13,0.5029,0.4636,0.4786,0.48855,0.451,0.541666667
2002.06.25,0.53905,0.479,0.4959,0.629,0.4953,0.625
2006.03.29,0.5136,0.2882,0.2868,0.73,0.34085,0.583333333
2002.12.06,0.6898,0.7325,0.8013,0.8253,0.7603,0.583333333
1976.12.22,0.5165,0.52475,0.5071,0.71385,,0.666666667
1967.09.26,0.5503,0.4859,0.4696,0.561,0.4864,0.5625
1989.01.25,0.58875,0.38325,0.3711,0.7748,0.4078,0.583333333
2005.09.24,0.7159,0.5857,0.61635,0.78495,0.6597,0.4375
1996.05.25,0.4408,0.2072,0.15935,0.58115,0.24145,0.645833333
1975.06.10,0.53125,0.51545,0.5159,0.7052,0.6553,0.604166667
2001.09.27,0.57105,0.7239,0.60225,0.66335,0.58885,0.395833333
2005.09.16,0.6252,0.5333,0.5935,0.6339,0.5574,0.666666667
2001.10.20,0.696,0.7376,0.66325,0.8218,0.6743,0.8125
2000.11.11,0.54735,0.3792,0.3741,0.8301,0.42205,0.479166667
2001.03.08,,0.4459,0.3993,0.5528,0.37675,0.541666667
1967.07.02,0.3231,0.4281,0.46855,0.4968,0.44905,0.666666667
1985.08.31,0.5789,0.44785,0.4339,0.6901,0.4634,0.645833333
1971.06.19,0.3983,0.36235,0.39705,0.47985,0.38775,0.5625
2003.07.29,0.4395,0.4506,0.5052,0.611,0.4843,0.333333333
2001.06.02,0.5879,0.681,0.68575,0.7361,0.71515,0.541666667
2002.04.22,0.354,0.3099,0.2265,0.5684,0.1349,0.708333333
2003.05.10,1.0005,0.90015,0.7288,1.0183,0.9879,0.770833333
1996.03.29,0.5214,0.5541,0.49885,0.7229,0.6901,0.604166667
1999.01.07,0.4345,0.3785,0.3635,0.528,0.422,0.520833333
2004.05.30,0.3534,0.1673,0.1342,0.4579,0.22705,0.729166667
2005.04.27,0.514,0.3865,0.359,0.647,0.457,0.729166667
1961.02.18,0.4213,0.42355,0.50145,0.72675,0.5402,0.395833333
2009.12.05,0.402,0.27505,0.22695,0.4744,0.3236,0.5625
2000.08.29,0.4374,0.311,0.1236,0.6648,0.1211,0.854166667
2004.12.22,0.51145,0.4449,0.4965,0.5214,0.4638,0.583333333
