birth_date,medRT_TRN1,medRT_TRN2,medRT_TRN3,medRT_RND4,medRT_REC5,offline_all
2002.05.13,0.7299,0.7073,0.71045,0.8103,0.7162,0.729166667
2004.05.20,0.9023,0.79145,0.4645,0.76665,0.4534,0.5625
1979.11.24,0.8006,0.7366,0.6351,0.8716,0.55895,0.791666667
1978.09.04,0.3745,0.3445,0.321,0.3935,0.386,0.666666667
2004.10.24,0.6525,0.77405,0.5872,0.8914,1.13655,0.520833333
2000.02.05,0.57315,0.47915,0.4389,0.0837,0.4516,0.6875
2000.05.15,0.4553,1.1158,0.96975,1.07625,1.0067,0.583333333
1967.01.17,0.7175,0.42305,0.35345,0.69835,0.5749,0.5
1998.01.06,0.535,0.4422,0.4484,0.561,0.4539,0.645833333
1991.03.12,0.653,0.628,0.6039,0.7872,0.5734,0.8125
1967.08.08,0.39255,0.3659,0.3618,0.46985,0.40875,0.5
1979.06.15,0.62835,0.625,0.5913,0.73995,0.6639,0.541666667
1961.10.11,0.508,0.518,0.493,0.543,0.4905,0.645833333
2003.03.26,0.17975,0.2487,0.21795,0.4841,0.22385,0.625
2005.02.01,0.50015,0.50085,0.536,0.6253,0.58905,0.604166667
2004.08.09,0.42025,0.4383,0.4361,0.4852,0.43565,0.5
1995.03.08,0.5566,0.4739,0.46545,0.6259,0.4779,0.6875
2005.04.24,0.61005,0.57745,0.5947,0.7194,0.627,0.541666667
2003.05.13,0.354,0.383,0.3605,0.392,0.388,0.729166667
2003.08.08,0.3482,0.19895,0.0902,0.44835,0.1288,0.583333333
2001.11.30,0.3278,0.2882,0.0883,0.4481,0.1797,0.666666667
2003.12.03,0.6185,0.5606,0.7037,0.6754,0.78995,0.645833333
1986.12.28,0.344,0.2725,0.2065,0.485,0.3,0.729166667
1958.06.17,0.4535,0.42,0.4165,0.471,0.431,0.479166667
1995.08.04,0.34825,0.335,0.2687,0.4303,0.3039,0.645833333
1977.12.16,0.4232,0.42755,0.46045,0.5451,0.4421,0.666666667
1990.02.08,0.1156,0.0789,0.06625,0.45635,0.1861,0.708333333
1970.12.13,0.4974,0.45195,0.3946,0.5772,0.4094,0.520833333
1980.08.07,0.3592,0.3436,0.3214,0.5135,0.2886,0.854166667
1981.03.09,0.7539,0.7506,0.7619,0.8648,0.7586,0.645833333
2003.10.31,0.1546,0.12915,0.1432,0.4469,0.16505,0.666666667
2000.08.17,0.40235,0.17255,0.1087,0.49065,0.1327,0.541666667
,0.8765,0.74555,0.6773,0.9994,0.8182,0.6875
2001.06.21,0.5875,0.515,0.4614,0.6736,0.53565,0.645833333
1946.09.29,0.6084,0.67485,0.6365,0.73595,0.7402,0.479166667
2007.01.07,0.4881,0.35705,0.1857,0.55615,0.2918,0.625
1994.08.16,0.3759,0.33565,0.3537,0.4405,0.3907,0.708333333
1977.10.24,0.46745,0.3851,0.83015,0.611,0.46305,0.583333333
1979.09.13,0.55045,0.51065,0.5573,0.5135,0.5974,
2001.12.07,0.4141,0.46,0.4743,0.5284,0.44725,0.604166667
1978.10.30,0.5122,0.64645,0.6454,0.5721,,0.604166667
2002.10.24,0.45435,0.2661,0.13155,0.5113,0.1883,0.666666667
2002.07.24,0.5956,0.6241,0.6087,0.76035,0.74265,0.666666667
1999.09.15,0.3881,0.389,0.2592,0.7593,0.518,0.625
2003.06.20,0.47755,0.5563,0.55,0.8477,0.71175,0.333333333
2000.03.08,0.44515,0.4689,0.4142,0.5722,0.46735,0.541666667
2002.10.11,0.71175,0.6313,0.5742,0.8399,0.6855,0.604166667
1979.07.18,0.4472,0.4661,0.418,0.5689,0.415,0.604166667
1987.06.20,0.942,0.8105,0.906,1.024,0.9775,0.541666667
1984.06.26,0.512,0.3587,0.43395,0.4504,0.4021,
1979.09.03,0.5916,0.52105,0.4137,0.675,0.41545,0.8125
1979.01.29,0.248,0.05355,0.5156,0.3933,0.1966,0.4375
2002.05.31,0.33175,0.3131,0.3033,0.3718,0.3378,0.520833333
1979.12.22,0.48545,0.4434,0.3729,0.6136,0.4486,0.6875
1978.06.14,0.3887,0.3646,0.1582,0.4841,0.2132,0.666666667
1986.01.08,0.5127,0.5021,0.4895,0.5457,0.5444,0.5625
2004.12.20,0.3625,0.13765,0.13925,0.4994,0.174,0.458333333
2003.01.27,0.38695,0.4873,0.5208,0.6848,0.5019,0.583333333
2001.01.20,0.378,0.2724,0.286,0.5645,0.3758,0.791666667
1997.10.26,0.4963,0.4079,0.4221,0.67715,0.42305,0.5
1973.10.09,0.439,0.4055,0.446,0.5155,0.437,0.604166667
1977.09.01,0.5312,0.4393,0.4157,0.8151,0.45565,0.520833333
1997.06.11,0.7005,0.6601,0.6775,0.8024,0.7081,0.625
1970.11.14,0.6445,0.5114,0.5118,0.5883,0.6006,0.520833333
1997.10.27,0.4096,0.3822,0.3915,0.7637,0.34405,0.75
2000.02.09,0.4835,0.6139,0.3987,0.75395,0.3729,0.6875
2003.06.18,0.62385,0.8755,0.6354,0.7448,0.6584,0.5
1990.05.24,0.4045,0.7468,0.4065,0.4654,0.47105,0.479166667
2001.06.01,0.7731,0.6751,0.70955,0.8334,0.7674,0.666666667
2001.06.24,0.47075,0.4214,0.4823,0.47095,0.44985,
2001.10.09,0.4109,0.3364,0.3712,0.53645,0.3968,0.645833333
1998.05.27,0.4346,0.4228,0.4335,0.5456,0.5255,0.770833333
2005.09.12,0.7512,0.8239,0.68385,0.7577,0.5182,0.645833333
2006.01.23,0.6262,0.46705,0.3878,0.6712,0.5407,0.5625
2004.01.31,0.5522,0.4943,0.42945,0.59515,0.4286,0.583333333
2002.08.10,0.4235,0.38,0.395,0.5163,0.39155,0.5625
2005.06.12,0.4372,0.4637,0.554,0.58355,0.5499,0.416666667
2003.07.13,0.4109,0.3926,0.40165,0.4896,0.4178,0.541666667
2004.08.25,0.4099,0.3616,0.3191,0.4903,0.3314,0.5625
2004.10.12,0.1875,0.1309,0.2339,0.1642,0.1769,0.5
1999.02.21,0.388,0.355,0.378,0.493,0.37,0.458333333
2002.10.10,0.48015,0.4075,0.3751,0.0436,0.47765,0.395833333
2000.10.08,0.6986,0.71325,0.913,0.27535,1.15385,0.625
1996.07.08,0.471,0.435,0.379,0.499,0.35,0.708333333
2000.09.14,0.4918,0.4604,0.63185,0.6374,0.5419,0.708333333
1999.12.07,0.4095,0.255,0.3225,0.539,0.337,0.708333333
2004.08.18,0.7015,0.6402,0.5732,0.8013,0.6041,0.666666667
2003.07.01,0.7063,0.6377,0.58305,0.7972,0.61715,0.583333333
1983.08.22,0.677,0.583,0.6032,0.7417,0.6978,0.583333333
2001.04.04,0.4699,0.39205,0.3454,0.58395,0.3793,0.791666667
2001.09.19,0.3945,0.2962,0.2483,0.5918,0.3102,0.666666667
1999.10.17,0.4262,0.45315,0.5624,0.50655,0.5149,0.520833333
2005.08.26,0.3793,0.25645,0.32365,0.7072,0.2155,0.8125
2001.06.10,0.6725,0.635,0.36795,0.7742,0.4917,0.479166667
2000.02.03,0.2798,0.0964,0.0828,0.4833,0.18625,0.604166667
2000.04.16,0.5775,0.5173,0.5128,0.529,0.47965,0.75
2001.07.14,0.39325,0.2891,0.323,0.5416,0.38315,0.666666667
2001.12.01,0.4185,0.3481,0.29585,0.4649,0.3317,0.416666667
1991.03.17,0.455,0.386,0.359,0.464,0.394,0.583333333
1974.02.21,0.5168,0.4514,0.373,0.6058,0.3261,0.6875
2002.09.27,0.5318,0.57965,0.4347,0.70515,0.4775,0.541666667
2003.04.02,0.5317,0.496,0.5711,0.54965,0.5202,0.5625
2006.03.31,0.312,0.039,0.0675,0.487,0.0515,0.729166667
1990.10.26,0.45115,0.4152,0.4062,0.4567,0.44065,0.541666667
2005.02.08,0.654,0.51055,0.49865,0.79645,0.6966,0.708333333
2001.03.21,0.2623,0.2605,,0.53415,0.1785,0.479166667
2001.02.25,0.304,0.23065,0.083,0.4914,0.1266,0.479166667
2005.06.13,0.5558,0.41695,0.42835,0.496,0.1347,0.708333333
2004.02.27,0.4686,0.4726,0.6382,0.5991,0.3866,0.666666667
1998.09.03,0.495,0.515,0.571,0.5825,0.5615,0.458333333
2008.03.07,0.43275,0.263,0.2231,0.56415,0.30115,0.708333333
1954.06.01,0.5265,0.57565,0.39185,0.7457,0.4199,0.6875
2001.05.04,0.439,0.438,0.4885,0.73,0.689,0.395833333
1954.06.18,0.482900002,0.438900002,0.625449999,0.557049997,0.428699997,0.479166667
1960.04.25,0.2785,0.2323,0.2061,0.3979,0.3991,0.395833333
2009.04.07,0.3771,0.5331,0.4912,0.54525,0.36975,0.541666667
1962.10.01,0.49195,0.54745,0.4709,0.576,0.4751,0.354166667
1961.07.26,0.8755,1.0085,1.061,1.0155,1.095,0.604166667
1954.08.14,0.4311,0.37305,0.4135,0.48055,0.4432,0.4375
2000.07.10,0.367,0.209,0.125,0.477,0.144,0.541666667
1998.11.24,0.6765,0.51025,0.4972,0.7421,1.1077,0.583333333
2003.02.25,0.61865,0.4109,0.34795,0.8225,1.1261,0.708333333
1999.03.23,0.6767,0.6504,0.6375,0.6835,0.7009,0.5625
2001.05.24,0.4672,0.4949,0.628,0.7028,0.6366,0.541666667
1999.11.29,0.4065,0.3145,0.125,0.509,0.202,0.770833333
1998.01.03,0.3965,0.3385,0.2482,0.61805,0.30245,0.791666667
1995.08.07,0.64925,0.49975,0.46865,0.74245,0.5039,0.395833333
2000.04.06,0.50965,0.4277,0.84835,0.65025,0.38125,0.75
1945.06.24,0.48865,0.7589,0.5057,0.53645,0.5267,0.375
1999.05.24,0.435,0.42125,,0.56815,0.38385,0.666666667
2000.07.05,0.4274,0.4479,0.4495,0.6054,0.518,0.541666667
2001.11.23,0.5767,0.5175,0.6193,0.76975,0.5517,0.520833333
2000.05.02,0.3925,0.319,0.32,0.291,0.3205,0.604166667
2007.09.29,0.4706,0.4472,1.08355,1.10805,0.42865,0.666666667
2006.07.26,0.591,0.587,0.501,0.6295,0.549,0.5
2004.07.27,0.4607,0.41955,0.4292,0.5636,0.436,0.479166667
1957.02.01,0.3122,0.2928,0.24415,0.4453,0.2689,0.583333333
2002.05.08,0.4371,0.40435,0.3733,0.6378,0.3718,0.5
2001.03.27,0.646,0.8252,0.81345,0.9516,0.43735,0.5625
2000.07.12,0.4454,0.4395,0.4305,0.50985,0.3809,0.5625
2001.12.29,0.65005,0.5785,0.4864,,0.5694,0.541666667
2003.08.09,0.7729,0.583,0.55025,0.9459,0.45945,0.708333333
1998.04.24,0.31595,0.333,0.3369,0.3586,0.3267,0.645833333
2004.11.24,0.5536,0.53055,0.44175,0.674,0.5464,0.708333333
1953.01.16,0.5164,0.36855,0.3196,0.6096,0.4832,0.395833333
2006.12.17,0.6062,0.42795,0.5443,0.8599,0.74295,0.458333333
2005.02.10,0.65265,0.6011,0.455,0.7714,0.5202,0.625
1956.10.02,0.631,0.5567,0.50715,0.6087,0.59775,0.479166667
1961.01.30,0.5425,0.4635,0.496,0.535,0.515,0.5625
1949.12.13,0.477,0.4005,0.4175,0.517,0.484,0.4375
2000.03.22,0.5025,0.472,0.488,0.5675,0.515,0.416666667
2000.07.08,0.3627,0.3382,0.2265,,0.2897,0.604166667
1998.01.16,0.4888,0.4203,0.4218,0.5833,0.47685,0.708333333
1998.06.12,0.3529,0.3114,0.3112,0.67805,0.3476,0.520833333
2001.02.22,0.516,0.5925,0.563,0.526,0.575,0.833333333
2003.04.07,0.6067,0.5407,0.3959,0.6596,0.4632,0.8125
2001.06.26,0.3692,0.2705,0.34585,0.4789,0.3815,0.666666667
2002.10.07,0.56365,0.6096,0.56365,0.5909,0.59615,0.375
2002.10.25,0.51795,0.3558,0.3373,0.6054,0.3293,0.604166667
1941.12.03,0.6043,0.6803,0.4108,0.62155,0.7961,0.458333333
1965.04.23,0.5089,0.4819,0.4411,,0.448,0.645833333
2006.06.02,0.56955,0.50325,0.50315,0.5459,0.42865,0.479166667
1956.01.29,0.4276,0.3477,0.4423,0.54505,0.4161,0.666666667
1938.04.09,0.858,,0.6296,0.7749,0.88465,0.395833333
2000.08.15,0.48115,0.453,0.47445,0.5612,0.46,0.5
2002.02.11,0.40645,0.24125,0.22185,0.49085,0.3051,0.520833333
2004.10.22,0.6814,0.987,0.80115,0.9048,0.6349,0.541666667
1996.12.15,0.426,0.431,0.687,0.537,0.636,0.770833333
2000.07.28,0.5109,0.48895,0.2364,0.69535,0.21485,0.5
2001.04.13,0.58665,0.5042,0.50105,0.69805,0.50085,0.604166667
2003.10.07,0.4965,0.392,0.3355,0.569,0.364,0.583333333
1994.08.22,0.50115,0.4019,0.3318,0.68825,0.3108,0.625
1955.01.01,0.5051,0.475,0.4525,0.577,0.6473,0.541666667
1979.11.23,0.4884,0.40265,0.4065,0.54975,0.4441,0.520833333
1962.10.15,0.5838,0.54935,0.5742,0.5867,0.639,0.666666667
2005.05.06,0.413,0.3065,0.278,0.538,0.339,0.75
2000.10.25,0.7552,0.6195,0.6402,0.77105,0.726,0.6875
1996.12.23,0.37595,0.3684,0.328,0.52295,0.68875,0.708333333
2005.08.23,0.585,0.478,0.403,0.66,0.569,0.75
1981.05.06,0.4013,0.3875,0.4163,0.4511,0.9073,0.6875
2002.04.24,0.4942,0.54645,0.3773,0.7095,0.4422,0.6875
2002.05.17,0.51215,0.53695,0.4292,0.5657,0.4428,0.354166667
2001.03.31,0.5321,0.5471,0.4953,0.58065,0.4474,0.666666667
1999.03.14,0.500599999,0.47905,0.36045,0.46395,0.3762,0.520833333
2000.10.20,0.3567,0.2739,0.3078,0.3736,0.34165,0.520833333
2002.04.09,0.7514,0.7973,0.8306,0.89945,0.1574,0.645833333
2000.02.07,0.47565,0.3987,0.075,0.0558,0.36315,0.604166667
2005.04.01,0.4631,0.6066,0.52595,0.7303,0.5609,0.583333333
2005.02.23,0.435,0.4212,0.394,0.5697,0.4204,0.458333333
2003.03.11,0.4341,0.29505,0.22545,0.70705,0.6858,0.729166667
2001.09.21,0.3401,0.4611,0.4694,0.5112,0.31415,0.770833333
1982.08.11,0.47925,0.4788,0.52275,0.54155,0.4888,
2001.02.27,0.6892,0.5528,0.69,0.6057,0.6577,0.604166667
2003.05.06,0.53965,0.46255,0.4505,0.6864,,0.5
2004.12.02,0.545,0.5585,0.45205,0.7116,0.3599,0.645833333
1987.10.16,0.4636,0.4517,0.41545,0.60135,0.4835,0.75
2004.11.30,0.46445,0.4913,0.5034,0.5179,0.353,0.770833333
1980.10.31,0.575,0.557,0.572,0.6575,0.5655,0.770833333
1947.04.19,0.662,0.7345,0.691,0.734,,0.541666667
2008.09.07,0.49205,0.3547,0.3973,0.5725,0.2879,0.541666667
2001.01.04,0.4318,0.23405,0.1228,0.58065,0.2842,0.729166667
2006.02.26,0.44,0.68545,0.9436,0.6278,0.56305,0.541666667
2005.05.24,0.16735,0.1358,0.12835,,0.1687,0.8125
2005.06.01,0.44135,0.4424,0.4066,0.4395,0.44225,0.604166667
1957.01.04,0.5959,0.7354,0.7655,0.6308,0.6147,0.583333333
2006.09.17,0.4796,0.4873,0.4416,0.5224,0.4824,0.5625
1944.12.28,0.551,,0.742,0.723,0.906,0.4375
1950.12.15,0.4619,0.38645,0.31425,0.58,0.4289,0.5625
2003.12.05,0.5044,0.4776,0.4424,0.6005,0.399,0.5625
1958.03.09,0.387,0.604,0.4245,0.459,0.255,0.5
1962.09.29,0.5793,0.4364,0.5205,0.76695,1.064,0.458333333
1983.03.22,0.36555,0.2605,0.15,0.48425,0.3008,0.604166667
1933.04.23,0.6293,0.79745,0.654,0.62775,0.70015,0.479166667
2005.08.25,0.4584,0.4301,0.3578,0.5353,0.4026,0.5
2005.07.06,0.502,0.3467,0.2592,0.78095,0.2937,0.708333333
2005.05.17,0.4534,0.364,0.4547,0.4863,0.283,0.583333333
2006.09.07,0.5954,0.4342,1.03805,0.5559,0.59175,0.645833333
1990.08.12,0.4949,0.5274,0.5185,0.5976,0.5006,0.604166667
2002.01.16,0.384,0.3785,0.372,0.441,0.425,0.604166667
2006.09.19,0.60505,0.5941,0.60845,0.78595,0.6182,0.416666667
2006.04.20,0.4078,0.30995,0.2682,0.52295,0.2589,0.604166667
2007.03.26,0.4829,0.4775,0.45225,0.487,0.477,0.520833333
1980.04.12,0.5353,0.44675,0.4944,0.5887,0.4192,0.583333333
1934.01.10,0.1662,0.2937,0.26995,0.19105,0.1954,0.395833333
1933.08.25,0.6077,0.5861,0.64,0.8377,0.71,0.395833333
1939.09.20,0.6204,0.4794,0.7342,0.5702,0.6138,0.604166667
1941.10.06,0.66985,0.4857,0.3911,0.56845,0.5202,0.416666667
1947.01.22,0.22475,0.2647,0.3178,0.231,0.2412,0.458333333
1933.05.11,0.6347,0.6105,0.6712,0.73695,0.5424,0.458333333
1930.02.16,0.20145,0.1943,0.1483,0.2144,0.2615,0.458333333
1998.12.03,0.4619,0.4914,0.4343,0.51,0.47175,0.479166667
2001.08.02,0.4431,0.356,0.3753,0.52995,0.26325,0.604166667
2001.06.29,0.4316,0.3865,0.3706,0.5346,0.3772,0.4375
1993.10.11,0.4188,0.2505,0.23185,0.6442,0.3078,0.854166667
2002.07.20,0.5921,0.5934,,0.6028,0.4878,0.666666667
2000.06.21,0.337,0.37315,0.3088,0.4217,0.3403,0.541666667
2001.09.13,0.4799,0.5598,0.5251,0.5955,0.6322,0.625
1991.10.05,0.50995,0.337,0.377,0.6407,0.4276,0.708333333
1991.07.04,0.4113,0.4043,0.3558,0.5945,0.3477,0.583333333
1940.02.10,0.78715,0.66445,0.6352,0.6651,0.7622,0.541666667
1930.06.11,0.2137,0.1825,0.6396,0.7719,0.73765,0.520833333
1996.03.15,0.478,0.4688,0.4221,0.6574,0.45535,0.541666667
1994.07.29,0.43215,0.4202,0.3705,0.5288,0.4757,0.625
1992.10.19,0.354,0.338,0.3382,0.3876,0.33685,0.520833333
1994.09.15,0.592,0.4398,0.5748,0.8075,0.5496,0.625
1998.07.10,0.42225,0.4155,0.3756,0.4118,0.3901,0.604166667
1993.08.24,0.4505,0.42475,0.32935,0.65525,0.3676,0.729166667
1970.02.12,0.3547,0.34155,0.2938,0.4212,0.3747,0.604166667
1197.11.27,0.4765,0.5092,0.4851,0.5133,0.5591,0.354166667
1994.03.10,0.45515,0.4671,0.47035,0.543,0.58875,0.520833333
2000.01.04,0.7231,0.705,0.8515,0.8822,0.7111,0.5625
2000.11.19,0.4372,0.3592,0.3583,0.1617,0.2912,0.8125
1999.06.17,0.4682,0.3529,0.2964,0.6862,0.35705,0.708333333
1986.09.29,0.6077,0.4743,0.4194,0.4669,0.42205,0.583333333
1998.06.16,0.4633,0.3943,0.4765,0.5343,0.4645,0.604166667
1995.07.25,0.6903,0.6945,0.72675,0.80395,1.03505,0.354166667
1969.06.02,0.529,0.514,0.543,0.723,0.448,0.625
1971.01.27,0.5889,0.3267,0.3907,0.5598,0.292,0.583333333
1982.06.06,0.3826,0.3947,0.4232,0.4426,0.4115,0.520833333
1967.09.08,0.3088125,0.34843,0.33107,0.5960925,0.47859,0.395833333
1976.04.06,0.474105,0.348325,0.1671175,0.634675,0.44075,0.6875
1946.02.23,0.5455,0.588,0.457,0.643,0.564,0.479166667
1966.07.21,0.487,0.457,0.488,0.54,0.475,0.75
1997.04.02,0.16308,0.130025,0.1309075,0.46085,0.137095,0.8125
1980.08.05,0.448975,0.429975,0.44021,0.620355,0.44875,0.479166667
1969.07.14,0.62,0.503,0.583,0.676,0.6955,0.604166667
1949.10.28,,0.53623,0.55372,0.62389,0.550565,0.604166667
1994.11.18,0.389855,0.290815,0.2647175,0.44161,0.2435625,0.729166667
1998.10.10,0.628,0.583,0.641,0.85,0.782,0.604166667
1993.06.10,0.59152,0.5467275,0.495925,0.56434,0.58205,0.5625
1976.04.16,0.40822,0.48048,0.43279,0.512395,0.4264025,0.520833333
1994.09.28,0.5193475,0.35723,0.3791675,0.61163,0.4604975,0.645833333
1998.06.29,0.321815,0.064585,0.056035,0.5021525,0.17711,0.625
1978.10.02,0.5721,0.500535,0.39897,0.6130525,0.37484,0.666666667
1971.08.18,0.5709875,0.504055,0.5085125,0.683855,0.78168,0.625
1989.10.27,0.437,0.43,0.4335,0.4635,0.397,0.604166667
1994.07.08,0.351955,0.306635,0.2477325,0.424045,0.3417825,0.9375
2004.09.09,0.8155,0.7966,0.7514,0.8865,0.7422,0.8125
2002.07.13,0.6885,0.4765,0.64,0.825,0.589,0.645833333
2000.11.02,-0.0799,0.0216,-0.1378,0.39655,0.2977,0.729166667
2005.05.30,0.7435,0.73295,0.8518,0.9166,0.85845,0.541666667
1996.01.18,0.728,0.367,0.3745,0.565,0.4585,0.604166667
1998.09.30,0.517735,0.38338,0.44493,0.62662,0.386755,0.520833333
1996.04.15,0.3432475,0.3305525,0.2397575,0.489325,0.258405,0.666666667
2000.05.16,0.43658,0.4080175,0.37502,0.5579,0.400835,0.8125
1996.02.19,0.70517,0.4641,0.76554,0.652035,0.5000325,0.375
1998.03.24,0.744305,0.341455,0.38575,0.424205,0.371475,0.583333333
1999.08.10,0.4122375,0.392615,0.204615,0.519445,0.38279,0.5
2000.06.20,0.4177375,0.2582825,0.2025725,0.53051,0.2385075,0.6875
2000.10.07,0.420985,0.371035,0.315125,0.542925,0.3219975,0.6875
1995.06.02,0.557245,0.486605,0.4961825,0.6701575,0.49363,0.520833333
2000.05.22,0.408945,0.25159,0.1877525,0.561035,0.25215,0.625
1999.10.22,0.48653,0.374235,0.38663,0.7233,0.280775,0.729166667
2000.12.11,-0.009,0.399,0.44,0.105,-0.189,0.520833333
1998.10.02,0.4025,0.3743,,,0.3607,0.645833333
2000.05.31,0.4470625,0.3995825,0.5520475,0.65119,0.41735,0.520833333
1999.06.24,0.4492,0.4162125,0.3985325,0.2198,0.389785,0.5625
2000.06.04,0.49902,0.45292,0.453765,0.51276,0.449535,0.5
2000.10.18,0.4170325,0.3980275,0.47115,0.529945,0.46172,0.645833333
1998.09.29,0.458,0.3555,0.409,0.534,0.4345,0.520833333
1983.10.02,0.546605,0.43992,0.36901,0.6962875,0.358535,0.479166667
1999.10.29,0.442865,0.422195,0.3662575,0.524695,0.356965,0.645833333
1986.08.28,0.48066,0.34939,0.5136475,0.65135,0.4274625,0.604166667
1987.06.17,0.493265,0.3758,0.267115,0.591415,0.346635,0.520833333
1996.01.27,0.475355,0.28924,0.284995,0.534085,0.3429425,0.770833333
1998.05.19,0.36961,0.343855,0.3188125,0.450335,0.3501075,0.541666667
1999.11.08,0.325,0.1415,0.0985,0.553,0.141,0.4375
1999.09.16,0.4245275,0.44603,0.3506525,0.5170225,,0.645833333
1997.06.03,0.3791125,0.20174,0.1540525,0.61763,0.15843,0.895833333
1999.12.15,0.4397,0.44634,0.40888,0.49346,0.46903,0.5
1999.07.01,0.382365,0.429135,0.41043,0.466815,0.4088875,0.479166667
1990.04.03,0.4937225,0.4959175,0.3755575,0.6474525,0.418095,0.541666667
1998.01.21,0.423825,0.34758,0.30592,0.504375,0.32671,0.75
1993.11.11,0.4155,0.209,0.173,0.595,0.1175,0.75
1997.06.08,0.5624,0.40505,0.3765,0.59845,0.41065,0.6875
1997.03.27,0.44551,0.312965,0.2991,0.44462,0.32778,0.479166667
1998.04.15,0.45938,0.39935,0.330435,0.478815,0.3466325,0.375
1971.04.15,0.38986,0.327105,0.3378425,0.4242,0.32814,0.604166667
2000.06.28,0.423,0.405,0.3775,0.429,0.416,0.458333333
1975.02.07,0.5738425,0.4853875,0.61348,0.64379,0.5820975,0.458333333
1999.10.27,0.353065,0.102975,0.2117275,0.466415,0.298455,0.604166667
1999.01.05,0.40656,0.367875,0.2696325,0.518875,0.353095,0.770833333
1998.08.09,0.37034,0.2597225,0.131915,0.503735,0.159795,0.5625
2000.04.26,0.565865,0.39378,0.4110625,0.5552,0.41685,0.729166667
1982.09.29,0.584535,0.551835,0.487745,0.649935,0.58135,0.5
2000.04.11,0.4126125,0.451555,0.4565025,0.510285,0.4599775,0.604166667
1989.09.26,0.3470375,0.319675,0.33766,0.555465,0.347985,0.875
2000.02.17,0.427205,0.434155,0.423885,0.525715,0.45821,0.583333333
