year	births	deaths
1941	177047	123349
1949	190398	105718
1960	146461	101525
1970	151819	120197
1980	148673	145355
1990	125679	145660
2001	97047	132183
2002	96804	132833
2003	94647	135823
2004	95137	132492
2005	97496	135732
2006	99871	131603
2007	97613	132938
2008	99149	130027
2009	96442	130414
2010	90335	130456
2011	88049	128795
2012	90269	129440
2013	88689	126778
2014	91510	126308
2015	91690	131697
2016	93063	127053
2017	91577	131674
2018	89807	131045
2019	89193	129603
2020	92338	141002
2021	93039	155621
2022	88491	136446
2023	85225	128176
2024	77511	127470
2025	72000	124200
2026	NA	NA
